District,Zone,Region
Achham,Seti,Far-Western
Arghakhanchi,Lumbini,Western
Baglung,Dhaulagiri,Western
Baitadi,Mahakali,Far-Western
Bajhang,Seti,Far-Western
Bajura,Seti,Far-Western
Banke,Bheri,Mid-Western
Bara,Narayani,Central
Bardiya,Bheri,Mid-Western
Bhaktapur,Bagmati,Central
Bhojpur,Koshi,Eastern
Chitwan,Narayani,Central
Dadeldhura,Mahakali,Far-Western
Dailekh,Bheri,Mid-Western
Dang,Rapti,Mid-Western
Darchula,Mahakali,Far-Western
Dhading,Bagmati,Central
Dhankuta,Koshi,Eastern
Dhanusa,Janakpur,Central
Dolakha,Janakpur,Central
Dolpa,Karnali,Mid-Western
Doti,Seti,Far-Western
Gorkha,Gandaki,Western
Gulmi,Lumbini,Western
Humla,Karnali,Mid-Western
Ilam,Mechi,Eastern
Jajarkot,Bheri,Mid-Western
Jhapa,Mechi,Eastern
Jumla,Karnali,Mid-Western
Kailali,Seti,Far-Western
Kalikot,Karnali,Mid-Western
Kanchanpur,Mahakali,Far-Western
Kapilvastu,Lumbini,Western
Kaski,Gandaki,Western
Kathmandu,Bagmati,Central
Kavrepalanchok,Bagmati,Central
Khotang,Sagarmatha,Eastern
Lalitpur,Bagmati,Central
Lamjung,Gandaki,Western
Mahottari,Janakpur,Central
Makwanpur,Narayani,Central
Manang,Gandaki,Western
Morang,Koshi,Eastern
Mugu,Karnali,Mid-Western
Mustang,Dhaulagiri,Western
Myagdi,Dhaulagiri,Western
Nawalparasi,Lumbini,Western
Nuwakot,Bagmati,Central
Okhaldhunga,Sagarmatha,Eastern
Palpa,Lumbini,Western
Panchthar,Mechi,Eastern
Parbat,Dhaulagiri,Western
Parsa,Narayani,Central
Pyuthan,Rapti,Mid-Western
Ramechhap,Janakpur,Central
Rasuwa,Bagmati,Central
Rautahat,Narayani,Central
Rolpa,Rapti,Mid-Western
Rukum,Rapti,Mid-Western
Rupandehi,Lumbini,Western
Salyan,Rapti,Mid-Western
Sankhuwasabha,Koshi,Eastern
Saptari,Sagarmatha,Eastern
Sarlahi,Janakpur,Central
Sindhuli,Janakpur,Central
Sindhupalchok,Bagmati,Central
Siraha,Sagarmatha,Eastern
Solukhumbu,Sagarmatha,Eastern
Sunsari,Koshi,Eastern
Surkhet,Bheri,Mid-Western
Syangja,Gandaki,Western
Tanahu,Gandaki,Western
Taplejung,Mechi,Eastern
Terhathum,Koshi,Eastern
Udayapur,Sagarmatha,Eastern
